depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
0,820,6907,204289,4788,20336,275,342,557,21
0.5,629,5362,171038,4252,21630,383,276,622,37
1,719,6157,186168,5322,23585,359,431,587,6
1.5,943,7644,211356,5680,24734,418,306,494,110
2,980,8753,220955,6167,26555,350,344,559,60
2.5,1315,10947,214977,7384,31566,348,367,761,86
3,1668,14368,181891,9874,37801,505,340,487,124
3.5,1603,15024,132733,10638,42540,556,394,429,159
4,1987,15457,90904,10896,39602,598,332,217,193
4.5,1852,14068,80435,9608,35715,544,274,391,244
5,1877,12115,80554,8583,32546,529,368,199,221
5.5,1779,11975,83264,8670,31961,424,457,168,166
6,1848,12252,80113,9335,32126,426,420,225,139
6.5,1888,12895,78533,9460,30476,486,439,381,152
7,1684,11391,76144,8618,27892,346,422,288,195
7.5,1704,11605,74919,8431,26224,395,437,138,119
8,1929,13328,82532,9172,28810,444,410,119,158
8.5,1657,12789,92240,8565,26207,349,393,294,112
9,1670,11527,102355,8062,22682,328,375,166,152
9.5,1762,10891,86037,7567,22778,373,344,104,153
10,1856,11549,72796,8816,25585,449,372,249,118
10.5,1878,11547,87458,8097,21514,475,287,139,135
11,1987,14130,152843,9375,19598,283,430,391,124
11.5,1990,13866,162463,9006,24342,413,343,390,115
12,1799,10496,124020,7489,22786,334,385,340,156
12.5,2192,10876,68247,8103,25446,457,395,398,139
13,2805,12122,44401,9406,30836,530,464,421,149
13.5,2900,13631,42285,10115,33184,483,433,265,106
14,3280,15261,39193,11612,33346,468,348,426,146
14.5,3114,15587,39014,12553,37008,483,493,341,202
15,2902,13878,40284,11052,36997,473,448,274,131
15.5,2449,11854,37568,7949,34891,512,430,273,111
16,2055,12720,37228,9182,31250,483,329,429,160
16.5,2053,13032,37864,10263,27758,448,459,308,72
17,2253,11465,38316,8976,25043,420,409,319,119
17.5,2722,12167,41930,8551,26847,307,416,376,146
18,2479,12799,49591,9793,27627,360,369,288,82
18.5,2152,12032,56833,8822,24254,446,444,347,74
19,2128,10622,64924,8026,22149,391,386,274,68
19.5,1733,10189,52349,8259,23191,364,406,244,51
20,1720,11548,46252,8606,24855,353,421,222,83
20.5,1880,12087,48337,9324,27789,377,417,456,134
21,2125,13277,57919,9874,29445,430,365,375,105
21.5,2202,11692,55705,9089,27070,572,343,400,56
22,2105,10867,59033,8648,26182,459,436,253,113
22.5,2106,11228,64354,8345,26182,309,248,414,92
23,2301,12341,63564,9465,26582,402,370,322,70
23.5,2348,11013,55498,8404,24816,452,320,336,93
24,2714,10913,48296,7086,22723,391,393,304,143
24.5,2902,11907,41969,8081,27173,351,342,468,80
25,2824,13035,39373,9139,28322,477,418,355,123
25.5,2694,14381,39328,9865,29874,389,347,203,175
26,2539,14969,39300,10805,31336,475,411,88,92
26.5,2446,14117,38471,10371,28404,518,367,312,62
27,2458,13988,38995,10988,29180,431,335,306,78
27.5,2441,15625,41026,12114,33987,364,376,268,88
28,2297,16324,41503,12869,35153,466,344,342,116
28.5,2051,15602,41224,12200,32518,463,375,377,109
29,2078,15980,42827,12893,29270,384,352,427,167
29.5,2186,17057,43439,13390,28403,365,430,399,104
30,2063,14466,42239,11619,26990,386,363,269,163
30.5,1802,11483,37387,8279,23773,437,436,380,114
31,1910,12252,38187,9716,24774,378,353,276,98
31.5,1973,11582,36509,9207,21593,392,392,418,88
32,2101,11385,38292,8398,22625,357,370,304,130
32.5,1810,12871,42935,9323,22897,403,347,166,111
33,1973,12588,43277,8841,23694,372,384,288,80
33.5,1977,12062,45421,8716,24606,319,412,254,71
34,1893,11355,54910,9093,27178,406,380,520,67
34.5,1737,10461,66281,7626,26008,398,403,310,121
35,1828,10597,67606,7096,25809,432,487,576,91
35.5,1588,10354,66477,7160,25955,317,389,170,19
36,1377,9452,63568,6593,25241,385,307,367,98
36.5,1596,9556,77573,6772,23425,378,446,391,56
37,1378,8721,86894,6332,20553,342,372,307,100
37.5,1335,8581,100507,6243,19917,295,389,454,21
38,1664,10423,107136,7092,21091,278,377,530,83
38.5,1507,9954,106871,6945,20435,319,377,637,77
39,1414,10036,88299,7302,22606,354,471,689,0
39.5,1502,10566,64771,8203,26930,440,410,496,22
40,1795,12167,65568,8508,29035,399,364,333,100
40.5,1859,12668,61040,9133,27870,399,352,214,111
41,1927,12782,59572,9365,27918,393,453,674,53
41.5,1688,12432,58122,9131,28845,392,344,503,72
42,1928,14262,58528,10123,29617,422,374,575,34
42.5,2123,14446,56642,9804,30973,478,325,421,120
43,2148,15371,58898,10537,30400,429,387,341,73
43.5,2365,15442,60672,11597,34291,345,394,361,0
44,2082,14808,77025,10663,35213,405,336,399,20
44.5,2017,12676,87292,8924,32771,440,291,279,87
45,1779,11699,94218,8027,32646,484,285,372,26
45.5,1561,11487,108864,7837,31153,423,270,516,43
46,1687,11109,105823,7910,29815,436,425,549,18
46.5,1688,11027,99287,8766,27484,413,341,352,36
47,1665,11238,113803,8214,30264,442,325,469,140
47.5,1850,12034,137636,7890,36412,517,329,650,0
48,1864,11631,144545,8635,48377,447,270,461,25
48.5,1755,10577,139903,10432,56895,604,327,712,71
49,1857,12072,148186,8313,49521,468,301,588,16
49.5,1648,12131,172653,7888,50138,474,325,964,0
50,1573,11864,193630,7650,54187,604,407,631,12
50.5,1497,10737,221769,7159,51596,468,305,671,6
51,1369,11321,211433,7523,38444,376,368,606,0
51.5,1451,12392,186359,7957,41228,409,374,510,0
52,1733,12844,169509,8552,40576,422,376,557,0
52.5,1842,11147,114145,7912,32136,312,422,492,0
53,1963,11012,94588,8345,33123,446,343,292,36
53.5,1984,10862,71569,8183,39277,482,336,289,0
54,2121,13072,58987,8864,41053,545,325,270,33
54.5,1940,12734,55602,8814,44476,451,356,505,47
55,1648,12373,51727,9180,49624,563,342,551,20
55.5,1602,11372,50425,8646,48100,565,418,348,0
56,1580,10416,55500,7782,45592,582,313,267,77
56.5,1217,8779,48906,7118,40042,555,421,331,48
57,1130,7801,58112,6269,38969,494,371,453,46
57.5,915,5898,75816,5056,36859,475,307,355,38
58,913,5937,101727,5021,33114,501,358,377,0
58.5,999,5408,75211,4477,32514,491,281,434,48
59,740,5121,70873,4260,30084,424,374,278,0
59.5,907,4124,120355,4360,24677,347,410,185,66
60,878,3036,77358,2932,18243,339,314,206,57
60.5,777,3270,67147,2790,19914,266,400,191,0
61,735,3457,77406,2892,24764,291,399,75,6
61.5,901,3985,59128,3187,24091,310,428,175,45
62,910,4810,49111,3489,23255,215,393,225,0
62.5,813,4487,54047,3565,24987,274,403,93,0
63,809,4446,62689,3937,25587,268,436,410,28
63.5,928,4918,61466,3972,22129,428,348,187,0
64,983,5539,54880,4456,22568,381,393,414,6
64.5,962,5133,53630,3731,24012,393,320,0,72
65,1041,4401,47695,3030,20587,287,388,0,20
65.5,987,3704,52248,2649,18120,292,398,132,16
66,758,3436,75267,2560,19827,376,402,54,42
66.5,562,3306,133894,2982,20827,400,424,354,0
67,631,3159,208067,2315,15664,260,370,174,0
67.5,700,2861,288767,2215,14630,254,335,255,0
68,777,2719,163426,2296,19634,415,294,191,0
68.5,795,3588,129721,2614,24900,406,297,310,0
69,626,4407,168784,3149,26326,360,435,307,24
69.5,651,4194,129841,2983,25900,362,327,337,0
70,807,5230,98813,3838,26331,301,400,306,16
70.5,733,4632,112792,3772,28361,449,419,160,0
71,787,4416,79778,4095,25682,510,381,413,38
71.5,845,5401,60327,4331,23095,354,332,299,36
72,882,5261,53076,4239,20837,367,312,160,89
72.5,1073,6134,70027,4769,22288,475,299,184,14
73,1031,7531,88975,5250,23759,408,449,67,0
73.5,984,6223,126813,4560,26469,426,371,331,0
74,924,5648,151205,4686,38658,385,320,166,0
74.5,835,4653,158753,3901,27739,481,360,364,0
75,809,4928,155036,4276,26501,443,305,442,0
75.5,877,7079,181707,5155,25345,293,334,465,0
76,840,6687,204956,4875,26162,316,327,501,0
76.5,956,8496,179342,5931,26546,397,274,465,9
77,1118,11963,160117,8198,34650,387,341,572,0
77.5,1075,10893,181810,6943,33541,379,333,383,0
78,793,6097,187387,4405,26302,392,328,375,0
78.5,786,5065,223221,4248,26570,280,328,471,0
79,744,4698,261037,3303,23750,378,312,371,0
79.5,593,4117,260561,2939,21117,234,304,420,0
80,667,4387,268757,2900,17544,184,248,345,0
80.5,677,4735,228503,3230,20821,314,348,449,0
81,737,4998,222849,3572,24530,269,365,572,0
81.5,642,4869,226552,3413,25103,288,332,446,0
82,712,4678,251254,2902,28036,330,359,412,0
82.5,790,5211,248795,3431,31336,336,335,221,0
83,769,5212,261997,4062,30001,337,321,306,0
83.5,665,4833,285208,3453,30667,248,377,550,0
84,651,4442,306593,3097,29855,270,316,449,0
84.5,715,4323,261933,3266,29667,286,367,423,0
85,784,4855,210932,3378,33086,397,375,296,0
85.5,695,4908,170267,3604,33172,427,354,474,15
86,743,5269,144968,4171,34764,333,342,273,0
86.5,734,4829,146471,3845,38272,468,366,302,0
87,762,5115,142416,3639,36993,406,369,491,5
87.5,778,5307,137904,3932,36203,447,325,272,0
88,828,5285,132537,3668,35202,445,428,336,0
88.5,768,5979,132949,3749,30493,453,339,463,0
89,720,5312,134356,3943,27269,375,419,345,0
89.5,699,5007,136419,3915,28270,403,448,552,0
90,737,5118,131344,3775,23828,268,402,235,52
90.5,681,5069,134433,3796,21307,370,362,481,0
91,767,5031,135195,4013,20587,274,336,274,0
91.5,676,4903,129504,3962,17329,245,373,456,17
92,705,4979,129848,3722,17415,241,340,265,0
92.5,634,4866,127600,3878,21650,337,383,481,0
93,671,4822,131237,3649,20536,228,345,266,0
93.5,767,4898,136176,3931,21003,365,388,305,0
94,747,4774,131303,3628,19887,332,377,249,0
94.5,794,5121,136653,4047,18350,325,342,46,0
95,746,5048,129388,3722,15582,243,273,283,7
95.5,846,5175,128994,3355,16109,272,377,266,0
96,867,5231,141730,3503,16321,303,425,166,0
96.5,850,5493,142879,3654,15385,315,369,205,0
97,791,5109,137411,4294,14706,308,339,311,0
97.5,834,5248,139325,4232,13937,340,379,304,0
98,854,5179,141687,4000,13679,313,400,315,0
98.5,830,5112,138242,3908,14166,237,332,204,0
99,731,5529,142303,4084,13616,278,415,159,0
99.5,768,5240,142167,3890,13929,253,404,170,0
100,718,4982,126153,3770,13578,325,380,480,0
100.5,697,4825,125284,3693,13347,243,394,342,0
101,842,5184,138529,4141,13330,213,368,543,12
101.5,766,5479,142801,4295,13551,293,379,314,0
102,969,5798,147917,4406,14147,242,343,278,0
102.5,910,5314,141033,4482,14104,274,340,345,0
103,901,5556,145102,4257,13694,249,351,451,0
103.5,1010,5650,154936,3986,13885,296,382,409,9
104,995,5766,153045,3941,13667,262,345,421,19
104.5,1044,5962,163583,4073,13987,211,381,391,0
105,961,5264,165618,3765,13006,287,390,394,0
105.5,770,4783,143704,3715,12532,130,503,203,10
106,580,3975,109678,3202,11537,158,354,423,0
